,Density,Molar Volume,Freely Rotatable Bonds,H Acceptors,H Donors,Molecular Weight,Polar Surface Area,Boiling Point
401,1.43,229.5,3.0,6.0,2.0,328.3,94.6,587.0
402,,,,,,,,
403,1.268,378.3,13.0,9.0,1.0,479.91,117.0,584.0
404,1.605,155.8,0.0,5.0,3.0,250.2,75.0,565.2
405,1.65,198.3,2.0,7.0,0.0,327.32,105.0,519.5
406,1.32,271.9,4.0,6.0,2.0,360.41,84.9,378.9
407,1.476,195.1,3.0,4.0,1.0,288.14,51.6,376.9
408,1.12,274.0,3.0,4.0,0.0,308.38,44.1,448.4
409,1.488,200.3,3.0,4.0,2.0,298.12,69.4,496.7
410,1.043,153.5,2.0,1.0,0.0,160.21,17.1,273.0
411,1.43,138.5,1.0,4.0,0.0,198.18,56.0,403.9
412,1.3,220.7,6.0,7.0,0.0,288.32,94.1,469.2
413,1.48,283.1,10.0,12.0,2.0,419.34,177.0,594.9
414,1.17,318.7,6.0,7.0,2.0,373.52,86.3,489.6
415,1.63,158.0,5.0,6.0,3.0,258.3,116.0,
416,1.46,211.6,4.0,3.0,2.0,310.18,45.4,566.1
